,name,type,unit,"Total CO2 emissions 
from fuel combustion","Other energy 
industry own use*","Manuf. industries 
and construction",Transport,of which: road,Residential,Commercial and public services,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
157,Non-OECD Americas,sectors_alt_2019,MtCO2eq,941.952836,82.215711,231.420205,391.993683,360.336452,126.17068,64.844418,,,,,,,,,,,,,,,
158,Bahrain,sectors_alt_2019,MtCO2eq,32.595476,3.399136,13.711422,3.740212,3.638582,6.84046,4.855818,,,,,,,,,,,,,,,
159,Islamic Rep. of Iran,sectors_alt_2019,MtCO2eq,583.515431,46.065597,152.977521,138.390284,134.665233,164.128712,42.799221,,,,,,,,,,,,,,,
160,Iraq,sectors_alt_2019,MtCO2eq,138.17737,14.549425,19.076623,34.52098,34.38644,48.998607,4.010043,,,,,,,,,,,,,,,
161,Jordan,sectors_alt_2019,MtCO2eq,22.835458,0.554015,3.659181,9.189593,9.146956,5.345527,2.006827,,,,,,,,,,,,,,,
162,Kuwait,sectors_alt_2019,MtCO2eq,89.444071,19.030327,22.976901,16.049158,16.049158,19.717907,10.729312,,,,,,,,,,,,,,,
163,Lebanon,sectors_alt_2019,MtCO2eq,25.508531,0.0,4.945034,8.420251,8.420251,6.562172,2.596374,,,,,,,,,,,,,,,
164,Oman,sectors_alt_2019,MtCO2eq,68.990804,8.982404,16.276714,12.09082,11.992538,7.556494,21.353041,,,,,,,,,,,,,,,
165,Qatar,sectors_alt_2019,MtCO2eq,86.888698,31.213897,25.823952,12.189564,12.189564,11.074616,4.409888,,,,,,,,,,,,,,,
166,Saudi Arabia,sectors_alt_2019,MtCO2eq,495.152599,35.161174,125.101209,136.379931,133.760674,104.230435,90.292988,,,,,,,,,,,,,,,
167,Syrian Arab Republic ,sectors_alt_2019,MtCO2eq,23.585671,0.623426,6.420274,5.528418,5.338997,7.349876,1.631316,,,,,,,,,,,,,,,
168,United Arab Emirates,sectors_alt_2019,MtCO2eq,177.98671,2.5907,77.118304,35.778382,34.617763,23.804441,22.717055,,,,,,,,,,,,,,,
169,Yemen,sectors_alt_2019,MtCO2eq,9.600826,0.357917,1.46747,3.344602,3.344602,3.540197,0.45161,,,,,,,,,,,,,,,
170,Middle East,sectors_alt_2019,MtCO2eq,1754.281645,162.528018,469.554605,415.622195,407.550758,409.149444,207.853493,,,,,,,,,,,,,,,
171,IEA/Accession/Association,sectors_alt_2019,MtCO2eq,25275.05056,1748.921151,10086.24398,5481.226644,4657.931808,3895.62532,2486.552208,,,,,,,,,,,,,,,
172,European Union - 27,sectors_alt_2019,MtCO2eq,2651.250073,172.811687,676.605339,829.957502,772.624125,537.451485,349.568486,,,,,,,,,,,,,,,
173,G7,sectors_alt_2019,MtCO2eq,7961.186859,594.089227,1618.340668,2681.603034,2271.548001,1541.339538,1302.205221,,,,,,,,,,,,,,,
174,G8,sectors_alt_2019,MtCO2eq,9601.514449,767.322617,2174.395365,2974.542212,2424.700439,1973.840633,1456.437803,,,,,,,,,,,,,,,
175,G20,sectors_alt_2019,MtCO2eq,27072.17609,1930.761531,10629.03946,5789.708398,4831.776431,4417.828699,2712.537048,,,,,,,,,,,,,,,
176,Africa,sectors_alt_2019,MtCO2eq,1262.860557,121.254361,365.113015,366.406734,345.788948,244.150094,101.679075,,,,,,,,,,,,,,,
177,Americas,sectors_alt_2019,MtCO2eq,6842.176649,596.329794,1289.333921,2556.328933,2171.345913,1186.856214,964.599131,,,,,,,,,,,,,,,
178,Asia,sectors_alt_2019,MtCO2eq,17426.73296,1003.840311,8528.740105,2549.854798,2208.052592,2666.188635,1421.840396,,,,,,,,,,,,,,,
179,Europe,sectors_alt_2019,MtCO2eq,5048.573645,399.819576,1385.524859,1283.189081,1085.415653,1195.120947,650.884577,,,,,,,,,,,,,,,
180,Oceania,sectors_alt_2019,MtCO2eq,437.818988,57.686419,120.478064,120.070447,97.019696,63.007309,65.510546,,,,,,,,,,,,,,,
181,"* Includes emissions from own use in petroleum refining, the manufacture of solid fuels, coal mining, oil and gas extraction and other energy-producing industries. ",sectors_alt_2019,MtCO2eq,,,,,,,,,,,,,,,,,,,,,,
